date,avg_temp,hdd,cdd,precip,new_snow,snow_depth
2019/3/1,30.5,34,0,0.11,1.4,1
2019/3/2,36,29,0,0.53,4,4
2019/3/3,37.5,27,0,0.52,3,1
2019/3/4,33,32,0,0.29,2,4
2019/3/5,26,39,0,0,0,2
2019/3/6,22.5,42,0,0.01,0.01,1
2019/3/7,25,40,0,0,0,1
2019/3/8,31.5,33,0,0,0,0
2019/3/9,41.5,23,0,0,0,0
2019/3/10,39,26,0,0.54,0,0
2019/3/11,46,19,0,0,0,0
2019/3/12,39,26,0,0,0,0
2019/3/13,40.5,24,0,0,0,0
2019/3/14,49.5,15,0,0,0,0
2019/3/15,62,3,0,0.39,0,0
2019/3/16,47.5,17,0,0,0,0
2019/3/17,39.5,25,0,0,0,0
2019/3/18,39,26,0,0,0,0
2019/3/19,43,22,0,0,0,0
2019/3/20,45,20,0,0,0,0
2019/3/21,43.5,21,0,0.75,0,0
2019/3/22,43.5,21,0,0.68,0,0
2019/3/23,41.5,23,0,0,0,0
2019/3/24,49,16,0,0,0,0
2019/3/25,49,16,0,0.01,0,0
2019/3/26,41,24,0,0,0,0
2019/3/27,40.5,24,0,0,0,0
2019/3/28,45,20,0,0.01,0,0
2019/3/29,54,11,0,0.01,0,0
2019/3/30,61,4,0,0,0,0
2019/3/31,52,13,0,0.06,0,0
